Title,gener
Fundamentals of Wavelets,"Goswami, Jaideva signal_processing Wiley"
Data Smart,"Foreman, John data_science Wiley"
God Created the Integers,"Hawking, Stephen mathematics Penguin"
Superfreakonomics,"Dubner, Stephen economics HarperCollins"
Orientalism,"Said, Edward history Penguin"
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir data_science Springer"
Integration of the Indian States,"Menon, V P history Orient Blackswan"
"Drunkard's Walk, The","Mlodinow, Leonard science Penguin"
Image Processing & Mathematical Morphology,"Shih, Frank signal_processing CRC"
How to Think Like Sherlock Holmes,"Konnikova, Maria psychology Penguin"
Data Scientists at Work,Sebastian Gutierrez data_science Apress
Slaughterhouse Five,"Vonnegut, Kurt fiction Random House"
Birth of a Theorem,"Villani, Cedric mathematics Bodley Head"
Structure & Interpretation of Computer Programs,"Sussman, Gerald computer_science MIT Press"
"Age of Wrath, The","Eraly, Abraham history Penguin"
"Trial, The","Kafka, Frank fiction Random House"
Statistical Decision Theory',"Pratt, John data_science MIT Press"
Data Mining Handbook,"Nisbet, Robert data_science Apress"
"New Machiavelli, The","Wells, H. G. fiction Penguin"
Physics & Philosophy,"Heisenberg, Werner science Penguin"
Making Software,"Oram, Andy computer_science O'Reilly"
"Analysis, Vol I","Tao, Terence mathematics HBA"
Machine Learning for Hackers,"Conway, Drew data_science O'Reilly"
"Signal and the Noise, The","Silver, Nate data_science Penguin"
Python for Data Analysis,"McKinney, Wes data_science O'Reilly"
Introduction to Algorithms,"Cormen, Thomas computer_science MIT Press"
"Beautiful and the Damned, The","Deb, Siddhartha nonfiction Penguin"
"Outsider, The","Camus, Albert fiction Penguin"
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan fiction Random House"
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan fiction Random House"
"Wealth of Nations, The","Smith, Adam economics Random House"
"Pillars of the Earth, The","Follett, Ken fiction Random House"
Mein Kampf,"Hitler, Adolf nonfiction Rupa"
"Tao of Physics, The","Capra, Fritjof science Penguin"
Surely You're Joking Mr Feynman,"Feynman, Richard science Random House"
